company_name, id, domain, naics
"Primus Telecommunications Canada, Inc.", 75ea2c896e923fb43f2711ffa73bdec1, accglobal.net, 517911
"Accor SA", 25cff9eeddf4bd457a880d71b578b7d3, accor.com, 721110
"Moo", b7d192a44e0da16cd180ebe85efb7c8f, account-based-marketing-best-practices-from-the-experts.com, 722511
"PayPal, Inc.", a0a058baaeef16e88f6bd2ee36c03f6f, account-paypal.com, 522320
"aQuantive", 1756a0a063be7410cbc70c2e39185e53, account.manage.microsoft.com, 511210
"Microsoft; Forefront (Exchange Online, pka FrontBridge)", 3d6956422ed1656988c140e3163880a2, account.manage.microsoft.com, 511210
"Eorezo", 5ec763d1e4498e6491e1056ae673f34a, account.manage.microsoft.com, 541512
"Microsoft; Windows Live Hotmail", 62532c5ac0455d26a93aa79f8b9f7a1d, account.manage.microsoft.com, 511210
"Campaign Optimization", 7b138e0b77d0a24c30838c6a508ab85f, account.manage.microsoft.com, 511210
"Junk Email Filter", 844baf1c95334b8c5b99e9db2312df17, account.manage.microsoft.com, 333999
"aQuantive", 1756a0a063be7410cbc70c2e39185e53, account.microsoft.com, 511210
"protected", 2d07fad78478d88ebafdc581a91696bf, account.microsoft.com, 541690
"Microsoft; Forefront (Exchange Online, pka FrontBridge)", 3d6956422ed1656988c140e3163880a2, account.microsoft.com, 511210
"Personal Use", 58787c76bf33debaab52133773715c1c, account.microsoft.com, 561990
"Eorezo", 5ec763d1e4498e6491e1056ae673f34a, account.microsoft.com, 541512
"Microsoft", 5f532a3fc4f1ea403f37070f59a7a53a, account.microsoft.com, 511210
"Microsoft; Windows Live Hotmail", 62532c5ac0455d26a93aa79f8b9f7a1d, account.microsoft.com, 511210
"Campaign Optimization", 7b138e0b77d0a24c30838c6a508ab85f, account.microsoft.com, 511210
"Junk Email Filter", 844baf1c95334b8c5b99e9db2312df17, account.microsoft.com, 333999
"Robert_Half_International", ade84ea2fd6062fc6d20869711faf81c, accountemps.com, 561320
"Cal Fed", 2e43649abfc2a21336e813513918a795, accountonline.com, 522110
"Citigroup Global Markets Limited", 98b773e6946bd2ecf5e0ea05df8907b4, accountonline.com, 523120
"Yearbooks", 998528dcd257e6e308148ec50dee841a, accounts.classmates.com, 424920
"Saveinvest", a858b3146b4010f10418b7972795cd77, accounts.google.com, 531210
"eBrains", c0b343a5d1b81afc0205489f5030620a, accounts.google.com, 541690
"Google Inc.", c822c1b63853ed273b89687ac505f9fa, accounts.google.com, 519130
"@last Software, Inc", ea08a7c25ccf2348285d95fe96a731da, accounts.google.com, 517919
"Responsys", f4d2ceedf05888aea5ffe3fee201fd4d, accounts.google.com, 541890
"aQuantive", 1756a0a063be7410cbc70c2e39185e53, accounts.microsoft.com, 511210
"Microsoft; Forefront (Exchange Online, pka FrontBridge)", 3d6956422ed1656988c140e3163880a2, accounts.microsoft.com, 511210
"Eorezo", 5ec763d1e4498e6491e1056ae673f34a, accounts.microsoft.com, 541512
"Microsoft; Windows Live Hotmail", 62532c5ac0455d26a93aa79f8b9f7a1d, accounts.microsoft.com, 511210
"Campaign Optimization", 7b138e0b77d0a24c30838c6a508ab85f, accounts.microsoft.com, 511210
"Junk Email Filter", 844baf1c95334b8c5b99e9db2312df17, accounts.microsoft.com, 333999
"TS Bank", c94f70f478a5591fe8c30dd089b9b8df, accounts.td.com, 522110
"Authorize.net", 6b77d9198b624b771a816a2b56b1e717, accountsupport.com, 522320
"LPL Financial", 7c15713f230eb8296ae4d7ed252795c5, accountview.lpl.com, 523120
"ACCP", d05abcb4fc9e5fe51e0dd680a5409933, accp.com, 541990
"Accudata Holdings, Inc.", c52ea4660380c821f54817307f8bcbdc, accudata.com, 541860
"Authorize.net", 6b77d9198b624b771a816a2b56b1e717, accuntsupport2013com.networkshosting.com, 522320
"American Baby", 6414e0fa216a53e1eac71f8978148cbf, accuware-inc.com, 315210
"Tumblr, Inc.", 8ece64205432c3790f2d531156a8026a, accuware-inc.com, 519130
"Pinterest, Inc.", bb6ec8dcea15643283afe386156af82e, accuware-inc.com, 517110
"Ward Media Inc.", e454f5d8d193a928f19c254dcad18213, accuware-inc.com, 541613
